cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_pulse_penetration,50,source_offset,20,100,0.0418316527515675,0.043727870295327,0.468888961345193,0.3869728448241059,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0012672654882264836
all_site_folds_to_100,ahn4_pulse_penetration,50,source_plus_target_ridge,20,100,0.050812319932195246,0.052950717348229065,0.21737073993114892,0.01786945376301636,0.6677000820912236,0.626320909181373,0.7133004926108373,0.632863982793208,0.040407722802423496,-0.001195202659481351
all_site_folds_to_100,ahn4_pulse_penetration,50,target_only_ridge,20,100,0.043704118877651896,0.04444262575023063,0.46645733417423185,0.3936259824608227,0.6853744872129529,0.6163809189060229,0.7,0.630898186882267,0.042786847965410005,0.001406971305494909
all_site_folds_to_100,ahn4_pulse_penetration,50,target_reference_mean,20,100,0.060760783240852004,0.06184799196935817,-0.02854708902359865,-0.07633336803099852,,,,,0.059117510124040304,0.0011827872507701597
all_site_folds_to_100,ahn4_pulse_penetration,100,source_offset,20,100,0.0415002014881027,0.04366117604922231,0.4716137231312374,0.3870791766395879,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0011386394685337852
all_site_folds_to_100,ahn4_pulse_penetration,100,source_plus_target_ridge,20,100,0.04931624193236275,0.05152123874671237,0.23514048603916393,0.07901063803515498,0.6675519832566885,0.6277075724939054,0.7142857142857143,0.6325238496358745,0.040374819092049444,-0.001014193421131461
all_site_folds_to_100,ahn4_pulse_penetration,100,target_only_ridge,20,100,0.041599619316792597,0.0421891104948328,0.5331095270081656,0.44808911716975014,0.7018118122502095,0.6518121775632627,0.7328320802005013,0.663557532766885,0.04057686266060925,0.0012173092820170334
all_site_folds_to_100,ahn4_pulse_penetration,100,target_reference_mean,20,100,0.0608263734382027,0.061647136698223144,-0.02852288545243925,-0.07036922458515316,,,,,0.059117510124040304,0.0007228006189557705
all_site_folds_to_100,ahn4_sigma_z,0,source_mean,20,100,1.332652196707922,1.486498262831809,-0.7399794239242289,-1.120034184183776,,,,,1.041503964911815,-2.991135183706639e-05
all_site_folds_to_100,ahn4_sigma_z,0,source_ridge,20,100,1.0963463021181263,1.1912366533195096,-0.04898720228410175,-0.4330453516109156,0.419380676274527,0.4287785870331029,0.49931581828133553,0.47860489315079774,0.9539312133929694,-0.047570548332574784
all_site_folds_to_100,ahn4_sigma_z,2,source_offset,20,100,1.114144927398242,1.1861806896153313,-0.09442767932551979,-0.3723721713295301,0.419380676274527,0.4287785870331029,0.49931581828133553,0.4786048931507978,0.9539312133929694,-0.030337150484637816
all_site_folds_to_100,ahn4_sigma_z,2,source_plus_target_ridge,20,100,1.0974761860733397,1.1895893236028776,-0.0489497449394197,-0.4271220627951844,0.4205371381563035,0.4281549483909947,0.5161881596664205,0.47650852326178855,0.9517206210876665,-0.04635382284941024
all_site_folds_to_100,ahn4_sigma_z,2,target_only_ridge,20,100,1.6309926380584474,6.191230698806863,-1.2395679636370613,-2913.03851117117,0.0187678681455412,0.02579692870576685,0.01686991869918695,0.030663316192069887,1.3225676389830507,0.4217383675414406
all_site_folds_to_100,ahn4_sigma_z,2,target_reference_mean,20,100,1.2240719745896924,1.300797070243517,-0.22118880124466755,-0.623060034327928,,,,,1.041503964911815,-0.019211071005451646
all_site_folds_to_100,ahn4_sigma_z,5,source_offset,20,100,1.0463125977643677,1.0666788942889944,0.02700729617020975,-0.05628246782236835,0.419380676274527,0.4287785870331029,0.49931581828133553,0.4786048931507978,0.9539312133929692,-0.04293024791297897
all_site_folds_to_100,ahn4_sigma_z,5,source_plus_target_ridge,20,100,1.095952708624002,1.187519460625763,-0.0479299145067827,-0.4207711659207333,0.4206322799429395,0.4284334204943359,0.5161881596664205,0.47631596684890676,0.9517732782110397,-0.045668260236843124
all_site_folds_to_100,ahn4_sigma_z,5,target_only_ridge,20,100,1.130045152467487,1.1669929648545154,-0.12343982956554561,-0.2436333378141339,0.22859889756060864,0.21340596776989265,0.29991530208921513,0.23900025307504863,1.0392083131035252,-0.040307939485877756
